# code;name;componentType;supercategories;approvalstatus;catalogversion
Evaporadora_2110;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2110;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2111;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2111;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2127;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2127;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2128;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2128;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2129;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2129;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2144;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2144;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2145;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2145;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2146;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2146;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2152;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2152;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2153;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2153;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2154;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2154;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2155;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2155;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2156;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2156;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2157;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2157;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2158;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2158;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2159;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2159;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2161;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2161;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2162;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2162;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2163;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2163;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2164;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
Evaporadora_2164;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Online
Evaporadora_2165;Evaporadora;Evap Split;ESPECIFICACOES_TECNICAS:centralArClassificationCatalog:1.0;approved;centralArProductCatalog:Staged
