# code;supercategories;catalogversion
2152;SPLIT_17000_18000:centralArProductCatalog:Online,SPLIT_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2153;SPLIT_11000_12000:centralArProductCatalog:Staged,SPLIT_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2153;SPLIT_11000_12000:centralArProductCatalog:Online,SPLIT_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2154;SPLIT_9000_10500:centralArProductCatalog:Staged,SPLIT_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2154;SPLIT_9000_10500:centralArProductCatalog:Online,SPLIT_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2155;SPLIT_22000_24000:centralArProductCatalog:Staged,SPLIT_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2155;SPLIT_22000_24000:centralArProductCatalog:Online,SPLIT_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2156;SPLIT_17000_18000:centralArProductCatalog:Staged,SPLIT_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2156;SPLIT_17000_18000:centralArProductCatalog:Online,SPLIT_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2157;SPLIT_11000_12000:centralArProductCatalog:Staged,SPLIT_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2157;SPLIT_11000_12000:centralArProductCatalog:Online,SPLIT_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2158;SPLIT_9000_10500:centralArProductCatalog:Staged,SPLIT_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2158;SPLIT_9000_10500:centralArProductCatalog:Online,SPLIT_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2159;INVERTER_22000_24000:centralArProductCatalog:Staged,INVERTER_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2159;INVERTER_22000_24000:centralArProductCatalog:Online,INVERTER_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2161;INVERTER_9000_10500:centralArProductCatalog:Staged,INVERTER_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2161;INVERTER_9000_10500:centralArProductCatalog:Online,INVERTER_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2162;INVERTER_9000_10500:centralArProductCatalog:Staged,INVERTER_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2162;INVERTER_9000_10500:centralArProductCatalog:Online,INVERTER_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2163;INVERTER_11000_12000:centralArProductCatalog:Staged,INVERTER_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2163;INVERTER_11000_12000:centralArProductCatalog:Online,INVERTER_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2164;INVERTER_17000_18000:centralArProductCatalog:Staged,INVERTER_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2164;INVERTER_17000_18000:centralArProductCatalog:Online,INVERTER_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2165;INVERTER_22000_24000:centralArProductCatalog:Staged,INVERTER_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2165;INVERTER_22000_24000:centralArProductCatalog:Online,INVERTER_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2166;SPLIT_22000_24000:centralArProductCatalog:Staged,SPLIT_CONSUL:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2166;SPLIT_22000_24000:centralArProductCatalog:Online,SPLIT_CONSUL:centralArProductCatalog:Online;centralArProductCatalog:Online
2168;SPLIT_11000_12000:centralArProductCatalog:Staged,SPLIT_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2168;SPLIT_11000_12000:centralArProductCatalog:Online,SPLIT_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2173;INVERTER_9000_10500:centralArProductCatalog:Staged,INVERTER_DAIKIN:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2173;INVERTER_9000_10500:centralArProductCatalog:Online,INVERTER_DAIKIN:centralArProductCatalog:Online;centralArProductCatalog:Online
2174;INVERTER_11000_12000:centralArProductCatalog:Staged,INVERTER_DAIKIN:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2174;INVERTER_11000_12000:centralArProductCatalog:Online,INVERTER_DAIKIN:centralArProductCatalog:Online;centralArProductCatalog:Online
2176;INVERTER_22000_24000:centralArProductCatalog:Staged,INVERTER_DAIKIN:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2176;INVERTER_22000_24000:centralArProductCatalog:Online,INVERTER_DAIKIN:centralArProductCatalog:Online;centralArProductCatalog:Online
2191;INVERTER_17000_18000:centralArProductCatalog:Staged,INVERTER_FUJITSU:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2191;INVERTER_17000_18000:centralArProductCatalog:Online,INVERTER_FUJITSU:centralArProductCatalog:Online;centralArProductCatalog:Online
2208;INVERTER_17000_18000:centralArProductCatalog:Staged,INVERTER_SAMSUNG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2208;INVERTER_17000_18000:centralArProductCatalog:Online,INVERTER_SAMSUNG:centralArProductCatalog:Online;centralArProductCatalog:Online
2210;SPLIT_9000_10500:centralArProductCatalog:Staged,SPLIT_GREE:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2210;SPLIT_9000_10500:centralArProductCatalog:Online,SPLIT_GREE:centralArProductCatalog:Online;centralArProductCatalog:Online
2211;SPLIT_11000_12000:centralArProductCatalog:Staged,SPLIT_GREE:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2211;SPLIT_11000_12000:centralArProductCatalog:Online,SPLIT_GREE:centralArProductCatalog:Online;centralArProductCatalog:Online
2212;SPLIT_17000_18000:centralArProductCatalog:Staged,SPLIT_GREE:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2212;SPLIT_17000_18000:centralArProductCatalog:Online,SPLIT_GREE:centralArProductCatalog:Online;centralArProductCatalog:Online
2213;SPLIT_22000_24000:centralArProductCatalog:Staged,SPLIT_GREE:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2213;SPLIT_22000_24000:centralArProductCatalog:Online,SPLIT_GREE:centralArProductCatalog:Online;centralArProductCatalog:Online
2215;SPLIT_17000_18000:centralArProductCatalog:Staged,SPLIT_GREE:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2215;SPLIT_17000_18000:centralArProductCatalog:Online,SPLIT_GREE:centralArProductCatalog:Online;centralArProductCatalog:Online
2216;SPLIT_22000_24000:centralArProductCatalog:Staged,SPLIT_GREE:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2216;SPLIT_22000_24000:centralArProductCatalog:Online,SPLIT_GREE:centralArProductCatalog:Online;centralArProductCatalog:Online
2221;SPLIT_9000_10500:centralArProductCatalog:Staged,SPLIT_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2221;SPLIT_9000_10500:centralArProductCatalog:Online,SPLIT_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2222;SPLIT_11000_12000:centralArProductCatalog:Staged,SPLIT_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2222;SPLIT_11000_12000:centralArProductCatalog:Online,SPLIT_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2223;SPLIT_17000_18000:centralArProductCatalog:Staged,SPLIT_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2223;SPLIT_17000_18000:centralArProductCatalog:Online,SPLIT_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2224;SPLIT_22000_24000:centralArProductCatalog:Staged,SPLIT_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2224;SPLIT_22000_24000:centralArProductCatalog:Online,SPLIT_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2225;SPLIT_9000_10500:centralArProductCatalog:Staged,SPLIT_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2225;SPLIT_9000_10500:centralArProductCatalog:Online,SPLIT_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2226;SPLIT_11000_12000:centralArProductCatalog:Staged,SPLIT_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2226;SPLIT_11000_12000:centralArProductCatalog:Online,SPLIT_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2227;SPLIT_17000_18000:centralArProductCatalog:Staged,SPLIT_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2227;SPLIT_17000_18000:centralArProductCatalog:Online,SPLIT_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2228;SPLIT_22000_24000:centralArProductCatalog:Staged,SPLIT_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2228;SPLIT_22000_24000:centralArProductCatalog:Online,SPLIT_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2229;INVERTER_17000_18000:centralArProductCatalog:Staged,INVERTER_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2229;INVERTER_17000_18000:centralArProductCatalog:Online,INVERTER_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2232;INVERTER_22000_24000:centralArProductCatalog:Staged,INVERTER_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2232;INVERTER_22000_24000:centralArProductCatalog:Online,INVERTER_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
2247;PISO_TETO_52000_60000:centralArProductCatalog:Staged,PISO_TETO_LG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2247;PISO_TETO_52000_60000:centralArProductCatalog:Online,PISO_TETO_LG:centralArProductCatalog:Online;centralArProductCatalog:Online
2251;PISO_TETO_27000_32000:centralArProductCatalog:Staged,PISO_TETO_LG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2251;PISO_TETO_27000_32000:centralArProductCatalog:Online,PISO_TETO_LG:centralArProductCatalog:Online;centralArProductCatalog:Online
2252;PISO_TETO_47000_50000:centralArProductCatalog:Staged,PISO_TETO_LG:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2252;PISO_TETO_47000_50000:centralArProductCatalog:Online,PISO_TETO_LG:centralArProductCatalog:Online;centralArProductCatalog:Online
2253;CORTINA_DE_AR_90CM:centralArProductCatalog:Staged,CORTINA_DE_AR_AGRATTO:centralArProductCatalog:Staged;centralArProductCatalog:Staged
2253;CORTINA_DE_AR_90CM:centralArProductCatalog:Online,CORTINA_DE_AR_AGRATTO:centralArProductCatalog:Online;centralArProductCatalog:Online
