# code;@EAN_CODE;@WIDTH;@HEIGHT;@DEPTH;@GROSS_WEIGHT;catalogVersion
Evaporadora_2226;7898461967948;780;250;210;7,57;centralArProductCatalog:Staged
Evaporadora_2226;7898461967948;780;250;210;7,57;centralArProductCatalog:Online
Evaporadora_2227;7898461965364;900;295;225;13;centralArProductCatalog:Staged
Evaporadora_2227;7898461965364;900;295;225;13;centralArProductCatalog:Online
Evaporadora_2228;7898461966729;950;314;243;22;centralArProductCatalog:Staged
Evaporadora_2228;7898461966729;950;314;243;22;centralArProductCatalog:Online
Evaporadora_2229;7898461967030;900;310;225;10,5;centralArProductCatalog:Staged
Evaporadora_2229;7898461967030;900;310;225;10,5;centralArProductCatalog:Online
Evaporadora_2232;7898461967689;1080;335;230;13,5;centralArProductCatalog:Staged
Evaporadora_2232;7898461967689;1080;335;230;13,5;centralArProductCatalog:Online
Evaporadora_2247;7893299911170;1600;235;690;35;centralArProductCatalog:Staged
Evaporadora_2247;7893299911170;1600;235;690;35;centralArProductCatalog:Online
Evaporadora_2251;7893299911149;1200;235;690;28;centralArProductCatalog:Staged
Evaporadora_2251;7893299911149;1200;235;690;28;centralArProductCatalog:Online
Evaporadora_2252;7893299911163;1600;235;690;35;centralArProductCatalog:Staged
Evaporadora_2252;7893299911163;1600;235;690;35;centralArProductCatalog:Online
Evaporadora_2253;7898461964602;960;255;250;10,9;centralArProductCatalog:Staged
Evaporadora_2253;7898461964602;960;255;250;10,9;centralArProductCatalog:Online
Evaporadora_2254;7898461964619;1260;255;250;13,1;centralArProductCatalog:Staged
Evaporadora_2254;7898461964619;1260;255;250;13,1;centralArProductCatalog:Online
Evaporadora_2257;7898957911813;770;285;228;9;centralArProductCatalog:Staged
Evaporadora_2257;7898957911813;770;285;228;9;centralArProductCatalog:Online
Evaporadora_2258;7898957911820;770;285;228;9;centralArProductCatalog:Staged
Evaporadora_2258;7898957911820;770;285;228;9;centralArProductCatalog:Online
Evaporadora_2259;7898957911837;770;285;228;9;centralArProductCatalog:Staged
Evaporadora_2259;7898957911837;770;285;228;9;centralArProductCatalog:Online
Evaporadora_2260;7898957911844;990;295;268;13;centralArProductCatalog:Staged
Evaporadora_2260;7898957911844;990;295;268;13;centralArProductCatalog:Online
Evaporadora_2261;7898303868303;790;275;200;9;centralArProductCatalog:Staged
Evaporadora_2261;7898303868303;790;275;200;9;centralArProductCatalog:Online
Evaporadora_2262;7898303868358;845;289;209;10,5;centralArProductCatalog:Staged
Evaporadora_2262;7898303868358;845;289;209;10,5;centralArProductCatalog:Online
Evaporadora_2307;7898303868495;713;270;195;8,5;centralArProductCatalog:Staged
Evaporadora_2307;7898303868495;713;270;195;8,5;centralArProductCatalog:Online
Evaporadora_2308;7898303868518;713;270;195;8,5;centralArProductCatalog:Staged
Evaporadora_2308;7898303868518;713;270;195;8,5;centralArProductCatalog:Online
Evaporadora_2309;7898303868532;845;289;209;10;centralArProductCatalog:Staged
Evaporadora_2309;7898303868532;845;289;209;10;centralArProductCatalog:Online
Evaporadora_2310;7898303868556;845;289;209;10;centralArProductCatalog:Staged
Evaporadora_2310;7898303868556;845;289;209;10;centralArProductCatalog:Online
Evaporadora_2311;7898303868570;970;300;224;13,5;centralArProductCatalog:Staged
Evaporadora_2311;7898303868570;970;300;224;13,5;centralArProductCatalog:Online
Evaporadora_2312;7898303868594;970;300;224;13,5;centralArProductCatalog:Staged
Evaporadora_2312;7898303868594;970;300;224;13,5;centralArProductCatalog:Online
Evaporadora_2313;7898303868617;1078;325;246;17;centralArProductCatalog:Staged
Evaporadora_2313;7898303868617;1078;325;246;17;centralArProductCatalog:Online
Evaporadora_2314;7898303868631;1078;325;246;17;centralArProductCatalog:Staged
Evaporadora_2314;7898303868631;1078;325;246;17;centralArProductCatalog:Online
Evaporadora_2315;4548848688944;1200;340;259;18;centralArProductCatalog:Staged
Evaporadora_2315;4548848688944;1200;340;259;18;centralArProductCatalog:Online
Evaporadora_2317;7891129263505;480;330;482;23,3;centralArProductCatalog:Staged
Evaporadora_2317;7891129263505;480;330;482;23,3;centralArProductCatalog:Online
Evaporadora_2319;7891129263512;480;330;482;23,3;centralArProductCatalog:Staged
Evaporadora_2319;7891129263512;480;330;482;23,3;centralArProductCatalog:Online
Evaporadora_2321;7891129263550;480;330;482;24,8;centralArProductCatalog:Staged
